Date,Name,SubDept,Department,Revenue,Cost,GP,Qty,Year,Week,Month,DOW
2026-04-21,ASPARAGUS PER BUNCH,Vegetables,FRUIT & VEG,6.89,4.0,2.8899999999999997,1.0,2026,2026-04-20,2026-04-01,Tuesday
2026-05-08,ASPARAGUS PER BUNCH,Vegetables,FRUIT & VEG,7.99,5.0,2.99,1.0,2026,2026-05-04,2026-05-01,Friday
2026-05-09,ASPARAGUS PER BUNCH,Vegetables,FRUIT & VEG,7.99,5.0,2.99,1.0,2026,2026-05-04,2026-05-01,Saturday
2026-05-13,ASPARAGUS PER BUNCH,Vegetables,FRUIT & VEG,8.99,5.45,3.54,1.0,2026,2026-05-11,2026-05-01,Wednesday
2026-03-05,AVOCADO PER EACH,Fruit,FRUIT & VEG,52.56,30.8568,21.703200000000002,24.0,2026,2026-03-02,2026-03-01,Thursday
2026-03-06,AVOCADO PER EACH,Fruit,FRUIT & VEG,62.25,36.6435,25.606499999999997,27.0,2026,2026-03-02,2026-03-01,Friday
2026-03-07,AVOCADO PER EACH,Fruit,FRUIT & VEG,16.73,9.7503,6.979700000000001,7.0,2026,2026-03-02,2026-03-01,Saturday
2026-03-10,AVOCADO PER EACH,Fruit,FRUIT & VEG,45.41,26.4651,18.944899999999997,19.0,2026,2026-03-09,2026-03-01,Tuesday
2026-03-11,AVOCADO PER EACH,Fruit,FRUIT & VEG,66.44,39.0012,27.4388,28.0,2026,2026-03-09,2026-03-01,Wednesday
2026-03-12,AVOCADO PER EACH,Fruit,FRUIT & VEG,33.46,19.5006,13.959400000000002,14.0,2026,2026-03-09,2026-03-01,Thursday
2026-03-13,AVOCADO PER EACH,Fruit,FRUIT & VEG,78.87,45.9657,32.904300000000006,33.0,2026,2026-03-09,2026-03-01,Friday
2026-03-14,AVOCADO PER EACH,Fruit,FRUIT & VEG,52.58,30.6438,21.9362,22.0,2026,2026-03-09,2026-03-01,Saturday
2026-03-16,AVOCADO PER EACH,Fruit,FRUIT & VEG,21.51,12.5361,8.973900000000002,9.0,2026,2026-03-16,2026-03-01,Monday
2026-03-17,AVOCADO PER EACH,Fruit,FRUIT & VEG,90.82,52.9302,37.889799999999994,38.0,2026,2026-03-16,2026-03-01,Tuesday
2026-03-18,AVOCADO PER EACH,Fruit,FRUIT & VEG,38.0,22.2864,15.7136,16.0,2026,2026-03-16,2026-03-01,Wednesday
2026-03-19,AVOCADO PER EACH,Fruit,FRUIT & VEG,14.34,8.3574,5.9826,6.0,2026,2026-03-16,2026-03-01,Thursday
2026-03-20,AVOCADO PER EACH,Fruit,FRUIT & VEG,76.24,44.5728,31.667199999999994,32.0,2026,2026-03-16,2026-03-01,Friday
2026-03-21,AVOCADO PER EACH,Fruit,FRUIT & VEG,30.11,18.1077,12.002299999999998,13.0,2026,2026-03-16,2026-03-01,Saturday
2026-03-23,AVOCADO PER EACH,Fruit,FRUIT & VEG,40.63,23.6793,16.9507,17.0,2026,2026-03-23,2026-03-01,Monday
2026-03-24,AVOCADO PER EACH,Fruit,FRUIT & VEG,54.97,32.0367,22.933299999999996,23.0,2026,2026-03-23,2026-03-01,Tuesday
2026-03-25,AVOCADO PER EACH,Fruit,FRUIT & VEG,35.85,20.8935,14.956500000000002,15.0,2026,2026-03-23,2026-03-01,Wednesday
