PLU,Name
9.31574E+12,A/HILLS CHERRIES 1KG GIFT BOX
9.31574E+12,P/PICK MANGO 4PK
9.31574E+12,P/PICK NECTARINE 1KG
9.31574E+12,P/PICK AVOCADOES
9.31574E+12,P/PICK LEMON 500G
9.31574E+12,P/PICK MANDARINS 750G
9.31574E+12,P/PICK ORANGES NAVEL 1.5KG
9.31574E+12,P/PICK CARROTS 750GM
9.31574E+12,P/PICK LIMES 400G
9.31574E+12,P/PICK SILLY WHITE SPUDS 2KG
9.31574E+12,P/PICK SILLY RED SPUDS 2KG
9.3167E+12,S/TASTY SLD GMET POTATO  300GM
9.3167E+12,S/TASTY SLD ASIAN STY RC 300GM
9.3167E+12,S/TASTY SLD PSTA CKN&BCN 300GM
9.3167E+12,S/TASTY SLD PSTA HNY MST 300GM
9.3167E+12,S/TASTY SLD PSTA PESTO   300GM
9.3167E+12,S/TASTY SLD SEAFOOD      275GM
9.3167E+12,S/TASTY SLD EGG          250GM
9.31747E+12,BABY BEETROOT 250GMS
9.31779E+12,HERBS - FRESH ASSTD VARIETIES
9.31789E+12,CARROTS - SNACKING CARROTS 250G
9.31795E+12,TOMATOES - MIX A MATO 200G
9.31795E+12,CUCUMBER - CURLY 750G PACK
9.31809E+12,POTATOES - KESTRAL 2KG BAG
9.31844E+12,CARROTS - BABY 500G
9.31956E+12,DELTA SWEET CORN   PREPACK
9.32014E+12,ALFALFA/SPROUTS PER TUB
9.32014E+12,SNOW PEA SPROUTS PUNNETS 100G
9.32041E+12,BEAN SPROUTS 125GMS
9.32041E+12,BEAN SPROUTS 350G BAG
9.32194E+12,APPLES - GOLDEN DELICIOUS 1KG
9.32194E+12,P/PICK PINK LADY APPLES1.5KG
9.32194E+12,P/PICK PEARS 1.5KG
9.32194E+12,BRUSSEL SPROUTS PRE PACK 400GM
9.32194E+12,BRUSSELL SPROUTS - RED 400G
9.32229E+12,APPLES - JAZZ P/P 1KG
9.32258E+12,FRESH HERBS
9.32258E+12,R/BOW FRESH SWEET MIX 120GMS
9.32258E+12,R/BOW FRESH V/PK BABY SPINACH 200G
9.32258E+12,R/BOW FRESH SWEET MIX 200G
9.32258E+12,R/BOW FRESH MESCULIN MIX 120GMS
9.32258E+12,R/BOW FRESH BABY SPINACH 120G
9.32258E+12,R/BOW FRESH WILD ROCKET 120G
9.32258E+12,R/BOW FRESH KALE P/PACK 250GM
9.32287E+12,ALICE LANGTON CHOC DIPPING SCE 150G
9.32315E+12,SNOW PEAS PRE PACK 150G
9.32315E+12,CHERRIES - 500G P/P
9.32491E+12,P/P SWEET POTATOE'S 1KG
9.32833E+12,GOURMET GDN THAI STYLEPASTE 80G
9.32833E+12,GOURMET GDN BASIL PASTE 80G
9.32833E+12,G/GARDEN CORIANDER 80GM
9.32833E+12,GOURMET GDN GARLIC PASTE 80G
9.32833E+12,GOURMET GDN GINGER PASTE 80G
9.33072E+12,HERBS - LEMONGRASS 20G
9.33072E+12,HI FRESH BABY ROCKET 120GMS
9.33072E+12,HI FRESH COLESLAW 300GMS
9.33072E+12,HI FRESH COLESLAW 5OOGMS
9.33072E+12,HI FRESH GOURMET COLESLAW 400GMS
9.33072E+12,HI FRESH FAMILY BLEND 450G
9.33072E+12,HI FRESH MESCLUN 180GMS
9.33072E+12,HI FRESH STIR FRY MIX 600G
9.33072E+12,HI FRESH WOK READY STIR FRY 400GMS
9.33072E+12,HI FRESH SOUP MIX 600GMS
9.33072E+12,HI FRESH CRUNCHY ASIAN SALAD 370GMS
9.33072E+12,HI FRESH CAESAR SALAD KIT 180GMS
9.33072E+12,HI FRESH GARDEN SALAD BOWL 200GMS
9.33072E+12,HI FRESH GREEK SALAD KIT 180GMS
9.33072E+12,HI FRESH CRUNCHY ASIAN SALAD KIT 300GMS
9.33072E+12,HI FRESH KALESLAW  350GMS
9.33072E+12,HI FRESH SUPERFOOD STIRFRY 400G
