invoice_description,pos_name,units_per_invoice,sell_unit,supplier,verified,notes
ONIONS - RED - 1KG (P/P),ONIONS - RED ONIONS 1KG P/P,1.0,each,Freshlink,True,
ONIONS - RED - MEDIUM 10KG,ONIONS RED SALAD PER KILO,10.0,kg,Freshlink,True,
PARSNIPS - PRE PACK,PARSNIPS PRE PACK TRAY,1.0,each,Freshlink,True,
PASSIONFRUIT - LOOSE (EACH),PASSIONFRUIT,1.0,each,Freshlink,True,
PEARS - GREEN - 13KG (CTN),PEAR GREEN PER KG,13.0,kg,Freshlink,True,
PEAS - SNOW PEAS - EACH (P/P),SNOW PEAS PRE PACK 150G,1.0,each,Freshlink,True,
PEAS - SUGAR SNAP - EACH (P/P),SUGAR SNAP PEAS PRE PACK 150G,1.0,each,Freshlink,True,
PECUIAR PICK LEMONS 500G,P/PICK LEMON 500G,1.0,each,Freshlink,True,
PECULIAR PICK AVOCADOS 750G,P/PICK AVOCADOES,1.0,each,Freshlink,True,
PECULIAR PICK CARROTS 750G,P/PICK CARROTS 750GM,1.0,each,Freshlink,True,
PECULIAR PICK CARROTS 750G,P/PICK CARROTS 750GM,1.0,each,Freshlink,True,
PECULIAR PICK LEMONS 500G,P/PICK LEMON 500G,1.0,each,Freshlink,True,
PECULIAR PICK LIMES 400G,P/PICK LIMES 400G,1.0,each,Freshlink,True,
PECULIAR PICK ORANGES 1.5KG,P/PICK ORANGES NAVEL 1.5KG,1.0,each,Freshlink,True,
PECULIAR PICK PEARS 1.5KG,P/PICK PEARS 1.5KG,1.0,each,Freshlink,True,
PECULIAR PICK PINK LADY 1.5KG,P/PICK PINK LADY APPLES1.5KG,1.0,each,Freshlink,True,
POTATOES - KESTRAL - 2KG (BAG),POTATOES - KESTRAL 2KG BAG,1.0,each,Freshlink,True,
POTATOES - PREMIUM - WHITE - 15KG (CTN),POTATOES LOOSE WASHED PER KG,15.0,kg,Freshlink,True,
POTATOES - PREMIUM RED - 15KG,POTATOES RED LOOSE,15.0,kg,Freshlink,True,
POTATOES - WHITE - 2.5KG (BAG),POTATOES - WASHED 2.5KG BAG,1.0,each,Freshlink,True,
POTATOES - WHITE - 5KG (BAG),POTATOES - WASHED 5KG BAG,1.0,each,Freshlink,True,
PUMPKIN - BUTTERNUT (KG),PUMPKIN BUTTERNUT PER KG,1.0,kg,Freshlink,True,
PUMPKIN - KENT/JAP (KG),PUMPKIN JAP PER KG,1.0,kg,Freshlink,True,
RAINBOW - BABY SPINACH - 120G - BAG,R/BOW FRESH BABY SPINACH 120G,1.0,each,Freshlink,True,
RAINBOW - KALE - 250G - BAG,R/BOW FRESH KALE P/PACK 250GM,1.0,each,Freshlink,True,
RAINBOW - MESCULIN MIX - 120G - BAG,R/BOW FRESH MESCULIN MIX 120GMS,1.0,each,Freshlink,True,
RAINBOW - ROCKET - 120G - BAG,R/BOW FRESH WILD ROCKET 120G,1.0,each,Freshlink,True,
RAINBOW - SWEET MIX - 120G - BAG,R/BOW FRESH SWEET MIX 120GMS,1.0,each,Freshlink,True,
RASPBERRIES - PUNNET,RASPBERRIES 125GMS,1.0,each,Freshlink,True,
RED CAPSICUMS LGE 10KG CTN,CAPSICUMS RED PER KG,10.0,kg,Freshlink,True,
ROCKMELONS - 14 KG (CTN),ROCKMELON PER KG,14.0,kg,Freshlink,True,
RUBY KIWI P/P EACH,KIWI FRUIT 450GM P/PACK,1.0,each,Freshlink,True,
SHALLOTS - DUTCH (KG),SHALLOTS,1.0,kg,Freshlink,True,
SNACKING - CARROTS - P/P - EA,CARROTS - SNACKING CARROTS 250G,1.0,each,Freshlink,True,
SNOW PEA SPROUTS - PUNNETS (EA),SNOW PEA SPROUTS PUNNETS 100G,1.0,each,Freshlink,True,
SOUP VEG - 1KG,SOUP VEG PACK 1KG,1.0,each,Freshlink,True,
STRAWBERRIES - LARGE PUNNET,STRAWBERRIES PER PUNNET,1.0,each,Freshlink,True,
SWEDES - LOOSE - KG,SWEDES LOOSE PER KG,1.0,kg,Freshlink,True,
SWEET POTATOES - MEDIUM - 15KG (CTN),POTATOES SWEET PER KG,15.0,kg,Freshlink,True,
SWEET POTATOES - P/P 1KG (BAGS),P/P SWEET POTATOES 1KG,1.0,each,Freshlink,True,
SWEETCORN - LOOSE (EACH),SWEETCORN PER EACH,1.0,each,Freshlink,True,
SWEETCORN - P/P (EACH),SWEETCORN PREPACK,1.0,each,Freshlink,True,
TOMATOES - 1KG (P/P),TOMATOES - PRE-PACK 1KG,1.0,each,Freshlink,True,
TOMATOES - CHERRY - 250G (P/P),TOMATOES - CHERRY PUNNET 250G,1.0,each,Freshlink,True,
TOMATOES - CHERRY TRUSS - 250G (P/P) - EA,TOMATOES - CHERRY SAMPARI TRUSS 250G,1.0,each,Freshlink,True,
TOMATOES - GOURMET - 500G (P/P),TOMATOES - PREPACK 500G,1.0,each,Freshlink,True,
TOMATOES - LARGE - GOURMET - 10KG (CTN),TOMATOES 1ST SEMI PER KG,10.0,kg,Freshlink,True,
TOMATOES - SWEET DELIGHT - MINI ROMA - 200G PUNNET,TOMATOES - MINI ROMA 200GM PUNNET,1.0,each,Freshlink,True,
TOMATOES - TRUSS - 5KG (TRAY),TOMATOES TRUSS LOOSE PER KG,5.0,kg,Freshlink,True,
TURNIPS - LOOSE - KG,TURNIPS LOOSE PER KG,1.0,kg,Freshlink,True,
WATERMELON - SEEDLESS - KG,WATERMELON SEEDLESS PER KG,1.0,kg,Freshlink,True,
WHITE ONIONS - PREM - LOOSE KG,ONIONS WHITE LOOSE PER KG,1.0,kg,Freshlink,True,
ZUCCHINI - MEDIUM - 10KG (CTN),ZUCCHINI LOOSE PER KG,10.0,kg,Freshlink,True,
