Date,Store Name,Department Name,Department Sort,APN,Name,Sub Department Name,Sales Inc GST,Cost Ex GST,Cost Inc GST,GP %,Lines,GP $,Quantity,Sales Ex GST,Store Sales Ex,Store Sales Inc,year,DayOfWeek,Week,GP_pct_num,is_loose,cycle_start,baseline_gp,gp_gap,is_special,is_markdown
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,9339562011706.0,LK PASTA SALAD 250G,Salads,11.97,7.8366,7.8366,34.53,3,4.1334,3.0,11.97,11.97,11.97,2025,Thursday,1,34.53,False,2025-01-01,34.53,0.0,0,0
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,707.0,ONIONS PRE PACK 1KG BROWN,Vegetables,54.24,29.6,29.6,45.43,16,24.64,16.0,54.24,54.24,54.24,2025,Thursday,1,45.43,False,2025-01-01,43.76,1.6700000000000017,0,0
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,613.0,POTATOES -  WASHED 5KG BAG,Potatoes,40.47,25.05,25.05,38.1,3,15.42,3.0,40.47,40.47,40.47,2025,Thursday,1,38.1,False,2025-01-01,41.8,-3.6999999999999957,0,0
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,529.0,CUCUMBER CONTINENTAL,Vegetables,61.69,36.1677,36.1677,41.37,31,25.5223,31.0,61.69,61.69,61.69,2025,Thursday,1,41.37,False,2025-01-01,41.5,-0.13000000000000256,0,0
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,611.0,POTATOES -  WASHED 2.5KG BAG,Potatoes,95.88,57.0,57.0,40.55,12,38.88,12.0,95.88,95.88,95.88,2025,Thursday,1,40.55,False,2025-01-01,40.86,-0.3100000000000023,0,0
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,230.0,NECTARINES YELLOW,Fruit,41.64,26.06,26.06,37.42,7,15.58,5.212,41.64,41.64,41.64,2025,Thursday,1,37.42,False,2025-01-01,39.91,-2.489999999999995,0,0
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,231.0,NECTARINES WHITE,Fruit,10.43,5.968,5.968,42.78,2,4.462,1.492,10.43,10.43,10.43,2025,Thursday,1,42.78,False,2025-01-01,39.93,2.8500000000000014,0,0
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,269581.0,RADISH BUNCH,Vegetables,2.99,1.8,1.8,39.8,1,1.19,1.0,2.99,2.99,2.99,2025,Thursday,1,39.8,False,2025-01-01,39.8,0.0,0,0
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,80687493142.0,BROCCOLINI BUNCHES,Vegetables,3.69,2.15,2.15,41.73,1,1.54,1.0,3.69,3.69,3.69,2025,Thursday,1,41.73,False,2025-01-01,40.61,1.1199999999999974,0,0
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,105.0,APPLES GRANNY SMITH,Fruit,12.36,7.14,7.14,42.23,4,5.22,1.904,12.36,12.36,12.36,2025,Thursday,1,42.23,False,2025-01-01,41.52,0.7099999999999937,0,0
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,200250.0,STRAWBERRIES PER PUNNET,Fruit,121.23,97.2,97.2,19.82,27,24.03,27.0,121.23,121.23,121.23,2025,Thursday,1,19.82,False,2025-01-01,37.05,-17.229999999999997,0,1
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,252205.0,PUMPKIN DICED,Vegetables,4.12,2.2715,2.2715,44.87,2,1.8485,0.826,4.12,4.12,4.12,2025,Thursday,1,44.87,False,2025-01-01,44.85,0.01999999999999602,0,0
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,222.0,APRICOTS  ,Fruit,3.03,2.484,2.484,18.02,1,0.546,0.276,3.03,3.03,3.03,2025,Thursday,1,18.02,False,2025-01-01,38.84,-20.820000000000004,0,1
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,432.0,"TOMATOES -
 CHERRY PUNNET 250G",Fruit,39.48,24.0,24.0,39.21,12,15.48,12.0,39.48,39.48,39.48,2025,Thursday,1,39.21,False,2025-01-01,39.85,-0.6400000000000006,0,0
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,460.0,CARROTS               1 KG,Vegetables,33.83,21.25,21.25,37.19,17,12.58,17.0,33.83,33.83,33.83,2025,Thursday,1,37.19,False,2025-01-01,43.23,-6.039999999999999,0,0
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,501.0,CABBAGE HALF,Vegetables,9.16,5.0,5.0,45.41,4,4.16,4.0,9.16,9.16,9.16,2025,Thursday,1,45.41,False,2025-01-01,45.41,0.0,0,0
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,504.0,CABBAGE CHINESE HALF,Vegetables,10.98,6.5,6.5,40.8,2,4.48,2.0,10.98,10.98,10.98,2025,Thursday,1,40.8,False,2025-01-01,42.22,-1.4200000000000017,0,0
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,445.0,CELERY HALF,Vegetables,3.29,1.75,1.75,46.81,1,1.54,1.0,3.29,3.29,3.29,2025,Thursday,1,46.81,False,2025-01-01,46.81,0.0,0,0
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,451.0,CAULIFLOWER HALF,Vegetables,13.45,8.0,8.0,40.52,5,5.45,5.0,13.45,13.45,13.45,2025,Thursday,1,40.52,False,2025-01-01,42.845,-2.3249999999999957,0,0
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,498.0,CABBAGE RED QUARTER,Vegetables,2.98,1.875,1.875,37.08,2,1.105,2.0,2.98,2.98,2.98,2025,Thursday,1,37.08,False,2025-01-01,41.94,-4.859999999999999,0,0
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,9317885001437.0,CARROTS - SNACKING CARROTS 250G,Vegetables,4.69,2.85,2.85,39.23,1,1.84,1.0,4.69,4.69,4.69,2025,Thursday,1,39.23,False,2025-01-01,39.23,0.0,0,0
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,9318085022413.0,POTATOES - KESTRAL 2KG BAG,Potatoes,22.47,13.5,13.5,39.92,3,8.97,3.0,22.47,22.47,22.47,2025,Thursday,1,39.92,False,2025-01-01,39.92,0.0,0,0
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,9315737006739.0,A/HILLS CHERRIES 1KG GIFT BOX ,Fruit,49.98,44.0,44.0,11.96,2,5.98,2.0,49.98,49.98,49.98,2025,Thursday,1,11.96,False,2025-01-01,11.96,0.0,0,0
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,9315737007613.0,P/PICK AVOCADOES,Fruit,23.7,19.8,19.8,16.46,3,3.9,3.0,23.7,23.7,23.7,2025,Thursday,1,16.46,False,2025-01-01,18.84,-2.379999999999999,0,0
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,9310246050228.0,COMM CO COLESLAW         200GM,Salads,9.95,7.2,7.2,27.64,5,2.75,5.0,9.95,9.95,9.95,2025,Thursday,1,27.64,False,2025-01-01,27.64,0.0,0,0
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,9310246050358.0,COMM CO KALESLAW KIT     400GM,Salads,6.49,4.8216,4.8216,25.71,1,1.6684,1.0,6.49,6.49,6.49,2025,Thursday,1,25.71,False,2025-01-01,25.71,0.0,0,0
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,9313158000428.0,POTATOES - MITOLO LOW CARB 1.5KG,Potatoes,5.49,3.3,3.3,39.89,1,2.19,1.0,5.49,5.49,5.49,2025,Thursday,1,39.89,False,2025-01-01,20.41,19.48,0,0
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,9313711001015.0,SUGAR SNAP PEAS PRE PACK 150G,Vegetables,17.97,14.4,14.4,19.87,3,3.57,3.0,17.97,17.97,17.97,2025,Thursday,1,19.87,False,2025-01-01,39.92,-20.05,0,1
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,9313711002661.0,TOMATOES - PREPACK 500G,Fruit,9.98,6.0,6.0,39.88,2,3.98,2.0,9.98,9.98,9.98,2025,Thursday,1,39.88,False,2025-01-01,39.88,0.0,0,0
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,9316695006045.0,S/TASTY SLD PSTA CKN&BCN 300GM,Salads,6.99,4.5,4.5,35.62,1,2.49,1.0,6.99,6.99,6.99,2025,Thursday,1,35.62,False,2025-01-01,35.62,0.0,0,0
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,9316695006175.0,S/TASTY SLD SEAFOOD      275GM,Salads,5.99,4.5,4.5,24.87,1,1.49,1.0,5.99,5.99,5.99,2025,Thursday,1,24.87,False,2025-01-01,35.62,-10.749999999999996,0,0
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,9316695006212.0,S/TASTY SLD EGG          250GM,Salads,12.98,11.0,11.0,15.25,2,1.98,2.0,12.98,12.98,12.98,2025,Thursday,1,15.25,False,2025-01-01,21.32,-6.07,0,0
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,9317792000028.0,HERBS - FRESH ASSTD VARIETIES,Vegetables,7.98,4.8,4.8,39.85,2,3.18,2.0,7.98,7.98,7.98,2025,Thursday,1,39.85,False,2025-01-01,39.85,0.0,0,0
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,9310246061156.0,COMM CO CRNCHY NDLE KIT  450GM,Salads,14.67,10.8249,10.8249,26.21,3,3.8451,3.0,14.67,14.67,14.67,2025,Thursday,1,26.21,False,2025-01-01,29.29,-3.0799999999999983,0,0
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,9311331111114.0,POTATOES - ZERELLA SPUD LITE 1.5KG,Potatoes,19.87,13.0,13.0,34.57,5,6.87,5.0,19.87,19.87,19.87,2025,Thursday,1,34.57,False,2025-01-01,31.58,2.990000000000002,0,0
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,9312444000890.0,MUSHROOM - PREPACK BUTTON 200G,Vegetables,3.5,2.6,2.6,25.71,1,0.9,1.0,3.5,3.5,3.5,2025,Thursday,1,25.71,False,2025-01-01,39.88,-14.170000000000002,0,0
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,9316695006038.0,S/TASTY SLD ASIAN STY RC 300GM,Salads,19.37,12.75,12.75,34.18,3,6.62,3.0,19.37,19.37,19.37,2025,Thursday,1,34.18,False,2025-01-01,32.74,1.4399999999999977,0,0
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,431.0,TOMATOES - PRE-PACK 1KG,Fruit,17.97,10.5,10.5,41.57,3,7.47,3.0,17.97,17.97,17.97,2025,Thursday,1,41.57,False,2025-01-01,41.57,0.0,0,0
2025-01-02,Foodland Wudinna,FRUIT & VEG,5,406.0,CABBAGE QUARTER,Vegetables,10.32,5.0,5.0,51.55,8,5.32,8.0,10.32,10.32,10.32,2025,Thursday,1,51.55,False,2025-01-01,51.55,0.0,0,0
2025-01-03,Foodland Wudinna,FRUIT & VEG,5,406.0,CABBAGE QUARTER,Vegetables,3.87,1.875,1.875,51.55,3,1.995,3.0,3.87,3.87,3.87,2025,Friday,1,51.55,False,2025-01-01,51.55,0.0,0,0
2025-01-03,Foodland Wudinna,FRUIT & VEG,5,431.0,TOMATOES - PRE-PACK 1KG,Fruit,5.99,3.5,3.5,41.57,1,2.49,1.0,5.99,5.99,5.99,2025,Friday,1,41.57,False,2025-01-01,41.57,0.0,0,0
2025-01-03,Foodland Wudinna,FRUIT & VEG,5,272.0,ORANGES NET BAG 3KG,Fruit,23.97,15.0,15.0,37.42,3,8.97,3.0,23.97,23.97,23.97,2025,Friday,1,37.42,False,2025-01-01,39.3,-1.8799999999999955,0,0
2025-01-03,Foodland Wudinna,FRUIT & VEG,5,200250.0,STRAWBERRIES PER PUNNET,Fruit,142.74,88.4,88.4,38.07,26,54.34,26.0,142.74,142.74,142.74,2025,Friday,1,38.07,False,2025-01-01,37.05,1.0200000000000031,0,0
2025-01-03,Foodland Wudinna,FRUIT & VEG,5,252205.0,PUMPKIN DICED,Vegetables,2.33,1.2843,1.2843,44.88,1,1.0457,0.467,2.33,2.33,2.33,2025,Friday,1,44.88,False,2025-01-01,44.85,0.030000000000001137,0,0
2025-01-03,Foodland Wudinna,FRUIT & VEG,5,230.0,NECTARINES YELLOW,Fruit,32.65,20.44,20.44,37.4,8,12.21,4.088,32.65,32.65,32.65,2025,Friday,1,37.4,False,2025-01-01,39.91,-2.509999999999998,0,0
2025-01-03,Foodland Wudinna,FRUIT & VEG,5,231.0,NECTARINES WHITE,Fruit,8.02,4.588,4.588,42.79,2,3.432,1.147,8.02,8.02,8.02,2025,Friday,1,42.79,False,2025-01-01,39.93,2.8599999999999994,0,0
2025-01-03,Foodland Wudinna,FRUIT & VEG,5,269581.0,RADISH BUNCH,Vegetables,8.97,5.4,5.4,39.8,3,3.57,3.0,8.97,8.97,8.97,2025,Friday,1,39.8,False,2025-01-01,39.8,0.0,0,0
2025-01-03,Foodland Wudinna,FRUIT & VEG,5,80687493142.0,BROCCOLINI BUNCHES,Vegetables,18.45,10.75,10.75,41.73,5,7.7,5.0,18.45,18.45,18.45,2025,Friday,1,41.73,False,2025-01-01,40.61,1.1199999999999974,0,0
2025-01-03,Foodland Wudinna,FRUIT & VEG,5,105.0,APPLES GRANNY SMITH,Fruit,3.74,2.16,2.16,42.25,1,1.58,0.576,3.74,3.74,3.74,2025,Friday,1,42.25,False,2025-01-01,41.52,0.7299999999999969,0,0
2025-01-03,Foodland Wudinna,FRUIT & VEG,5,268245.0,PINEAPPLE FRESH HALF,Fruit,2.99,1.775,1.775,40.64,1,1.215,1.0,2.99,2.99,2.99,2025,Friday,1,40.64,False,2025-01-01,40.64,0.0,0,0
2025-01-03,Foodland Wudinna,FRUIT & VEG,5,269578.0,PARSLEY PRE PACKED,Vegetables,5.98,3.6,3.6,39.8,2,2.38,2.0,5.98,5.98,5.98,2025,Friday,1,39.8,False,2025-01-01,39.8,0.0,0,0
2025-01-03,Foodland Wudinna,FRUIT & VEG,5,9335567000028.0,"LETTUCE BABY COS
 TWIN PACK",Vegetables,14.37,8.7,8.7,39.46,3,5.67,3.0,14.37,14.37,14.37,2025,Friday,1,39.46,False,2025-01-01,40.5,-1.0399999999999991,0,0
2025-01-03,Foodland Wudinna,FRUIT & VEG,5,9337441000018.0,"MUSHROOMS - SLICED
 200G PREPACK",Vegetables,7.0,5.2,5.2,25.71,2,1.8,2.0,7.0,7.0,7.0,2025,Friday,1,25.71,False,2025-01-01,39.88,-14.170000000000002,0,0
2025-01-03,Foodland Wudinna,FRUIT & VEG,5,9339562011706.0,LK PASTA SALAD 250G,Salads,24.92,20.8976,20.8976,16.14,8,4.0224,8.0,24.92,24.92,24.92,2025,Friday,1,16.14,False,2025-01-01,34.53,-18.39,0,1
2025-01-03,Foodland Wudinna,FRUIT & VEG,5,9340187000082.0,TOMATOES - MINI ROMA 200GM PUNNET,Fruit,29.17,17.5,17.5,40.01,7,11.67,7.0,29.17,29.17,29.17,2025,Friday,1,40.01,False,2025-01-01,39.85,0.1599999999999966,0,0
2025-01-03,Foodland Wudinna,FRUIT & VEG,5,9340964000120.0,TOMATOES - CHERRY SAMPARI TRUSS 250G,Fruit,22.45,12.5,12.5,44.32,5,9.95,5.0,22.45,22.45,22.45,2025,Friday,1,44.32,False,2025-01-01,40.09,4.229999999999997,0,0
2025-01-03,Foodland Wudinna,FRUIT & VEG,5,9339562011836.0,LK POTATO SALAD 800G,Salads,15.98,10.2,10.2,36.17,2,5.78,2.0,15.98,15.98,15.98,2025,Friday,1,36.17,False,2025-01-01,36.17,0.0,0,0
2025-01-03,Foodland Wudinna,FRUIT & VEG,5,9339562011843.0,LK COLESLAW SALAD 800G,Salads,31.96,20.4,20.4,36.17,4,11.56,4.0,31.96,31.96,31.96,2025,Friday,1,36.17,False,2025-01-01,36.17,0.0,0,0
2025-01-03,Foodland Wudinna,FRUIT & VEG,5,9340187000037.0,CUCUMBER BABY LEBANESE P/PACK 250GMS,Vegetables,18.68,11.4,11.4,38.97,4,7.28,4.0,18.68,18.68,18.68,2025,Friday,1,38.97,False,2025-01-01,40.525,-1.5549999999999997,0,0
2025-01-03,Foodland Wudinna,FRUIT & VEG,5,9369999052256.0,SWEET CORN PRE PACK 500GMS,Vegetables,17.97,10.5,10.5,41.57,3,7.47,3.0,17.97,17.97,17.97,2025,Friday,1,41.57,False,2025-01-01,39.92,1.6499999999999986,0,0
2025-01-03,Foodland Wudinna,FRUIT & VEG,5,9415835000032.0,"KIWI FRUIT
600GM P/PACK",Fruit,19.58,11.5,11.5,41.27,2,8.08,2.0,19.58,19.58,19.58,2025,Friday,1,41.27,False,2025-01-01,37.67,3.6000000000000014,0,0
2025-01-03,Foodland Wudinna,FRUIT & VEG,5,93536240.0,BLUEBERRIES 125G,Fruit,51.92,32.0,32.0,38.37,8,19.92,8.0,51.92,51.92,51.92,2025,Friday,1,38.37,False,2025-01-01,38.53,-0.1600000000000037,0,0
2025-01-03,Foodland Wudinna,FRUIT & VEG,5,9323150000203.0,SNOW PEAS PRE PACK 150G,Vegetables,47.94,30.0,30.0,37.42,6,17.94,6.0,47.94,47.94,47.94,2025,Friday,1,37.42,False,2025-01-01,37.42,0.0,0,0
2025-01-03,Foodland Wudinna,FRUIT & VEG,5,9330719000659.0,HI FRESH COLESLAW 5OOGMS,Salads,3.7,2.75,2.75,25.68,1,0.95,1.0,3.7,3.7,3.7,2025,Friday,1,25.68,False,2025-01-01,22.494999999999997,3.1850000000000023,0,0
2025-01-03,Foodland Wudinna,FRUIT & VEG,5,9332341000311.0,BABY WOMBOK CHINESE CABBAGE,Vegetables,9.99,7.0,7.0,29.93,1,2.99,1.0,9.99,9.99,9.99,2025,Friday,1,29.93,False,2025-01-01,29.93,0.0,0,0
2025-01-03,Foodland Wudinna,FRUIT & VEG,5,9320142246892.0,"SNOW PEA SPROUTS
PUNNETS 100G",Vegetables,9.38,5.6,5.6,40.3,2,3.78,2.0,9.38,9.38,9.38,2025,Friday,1,40.3,False,2025-01-01,40.3,0.0,0,0
2025-01-03,Foodland Wudinna,FRUIT & VEG,5,9320409000014.0,BEAN SPROUTS 125GMS,Vegetables,8.0,5.0,5.0,37.5,2,3.0,2.0,8.0,8.0,8.0,2025,Friday,1,37.5,False,2025-01-01,37.5,0.0,0,0
2025-01-03,Foodland Wudinna,FRUIT & VEG,5,9321942001186.0,P/PICK PINK LADY APPLES1.5KG,Fruit,3.9,2.8,2.8,28.21,1,1.1,1.0,3.9,3.9,3.9,2025,Friday,1,28.21,False,2025-01-01,28.21,0.0,0,0
2025-01-03,Foodland Wudinna,FRUIT & VEG,5,9321942001193.0,"P/PICK PEARS
1.5KG",Fruit,5.49,3.3,3.3,39.89,1,2.19,1.0,5.49,5.49,5.49,2025,Friday,1,39.89,False,2025-01-01,32.65,7.240000000000002,0,0
2025-01-03,Foodland Wudinna,FRUIT & VEG,5,9322578001045.0,FRESH HERBS,Vegetables,3.99,2.4,2.4,39.85,1,1.59,1.0,3.99,3.99,3.99,2025,Friday,1,39.85,False,2025-01-01,39.85,0.0,0,0
2025-01-03,Foodland Wudinna,FRUIT & VEG,5,9322578001267.0,R/BOW FRESH SWEET MIX 120GMS,Salads,15.96,10.0,10.0,37.34,4,5.96,4.0,15.96,15.96,15.96,2025,Friday,1,37.34,False,2025-01-01,37.34,0.0,0,0
2025-01-03,Foodland Wudinna,FRUIT & VEG,5,9322578002240.0,R/BOW FRESH SWEET MIX 200G,Salads,7.0,4.9,4.9,30.0,2,2.1,2.0,7.0,7.0,7.0,2025,Friday,1,30.0,False,2025-01-01,30.0,0.0,0,0
2025-01-03,Foodland Wudinna,FRUIT & VEG,5,9322578009300.0,R/BOW FRESH MESCULIN MIX 120GMS,Salads,19.95,12.5,12.5,37.34,5,7.45,5.0,19.95,19.95,19.95,2025,Friday,1,37.34,False,2025-01-01,37.34,0.0,0,0
2025-01-03,Foodland Wudinna,FRUIT & VEG,5,9322578009317.0,R/BOW FRESH BABY SPINACH 120G,Salads,51.45,37.5,37.5,27.11,15,13.95,15.0,51.45,51.45,51.45,2025,Friday,1,27.11,False,2025-01-01,36.74,-9.630000000000003,1,0
2025-01-03,Foodland Wudinna,FRUIT & VEG,5,9322578009324.0,R/BOW FRESH WILD ROCKET 120G,Salads,3.45,2.1,2.1,39.13,1,1.35,1.0,3.45,3.45,3.45,2025,Friday,1,39.13,False,2025-01-01,37.34,1.7899999999999991,0,0
2025-01-03,Foodland Wudinna,FRUIT & VEG,5,9339562011775.0,LK POTATO SALAD 250G,Salads,10.37,7.8366,7.8366,24.43,3,2.5334,3.0,10.37,10.37,10.37,2025,Friday,1,24.43,False,2025-01-01,34.53,-10.100000000000001,0,0
2025-01-03,Foodland Wudinna,FRUIT & VEG,5,9339562011812.0,LK COLESLAW SALAD 250G,Salads,21.14,15.6732,15.6732,25.86,6,5.4668,6.0,21.14,21.14,21.14,2025,Friday,1,25.86,False,2025-01-01,34.53,-8.670000000000002,0,0
2025-01-03,Foodland Wudinna,FRUIT & VEG,5,9339562011829.0,LK PASTA SALAD 800G,Salads,47.14,30.6,30.6,35.09,6,16.54,6.0,47.14,47.14,47.14,2025,Friday,1,35.09,False,2025-01-01,36.17,-1.0799999999999983,0,0
2025-01-03,Foodland Wudinna,FRUIT & VEG,5,529.0,CUCUMBER CONTINENTAL,Vegetables,51.14,30.3342,30.3342,40.68,26,20.8058,26.0,51.14,51.14,51.14,2025,Friday,1,40.68,False,2025-01-01,41.5,-0.8200000000000003,0,0
